,date,survey,site_id,n_inverts_surveys,n_events,issue,,
1,2016-05-12,PRUTH_BAY,PRUTH_BAY_EDGE3,NA,1,both surveys missing,,
2,2016-05-13,PRUTH_BAY,PRUTH_BAY_EDGE1,NA,1,both surveys missing,,
3,2016-05-13,PRUTH_BAY,PRUTH_BAY_EDGE2,NA,1,both surveys missing,,
4,2016-05-13,PRUTH_BAY,PRUTH_BAY_INTERIOR4,NA,1,both surveys missing,,
5,2016-05-13,PRUTH_BAY,PRUTH_BAY_INTERIOR5,NA,1,both surveys missing,,
6,2016-05-13,PRUTH_BAY,PRUTH_BAY_INTERIOR6,NA,1,both surveys missing,,
7,2016-05-14,CHOKED_PASS,CHOKED_PASS_EDGE1,NA,1,both surveys missing,,
8,2016-05-14,CHOKED_PASS,CHOKED_PASS_INTERIOR4,NA,1,both surveys missing,,
9,2016-05-15,CHOKED_PASS,CHOKED_PASS_EDGE2,NA,1,both surveys missing,,
10,2016-05-15,CHOKED_PASS,CHOKED_PASS_EDGE3,NA,1,both surveys missing,,
11,2016-05-15,CHOKED_PASS,CHOKED_PASS_EDGE7,NA,1,both surveys missing,,
12,2016-05-15,CHOKED_PASS,CHOKED_PASS_INTERIOR6,NA,1,both surveys missing,,
13,2016-05-16,CHOKED_PASS,CHOKED_PASS_INTERIOR5,NA,1,both surveys missing,,
14,2016-05-30,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE1,NA,1,both surveys missing,,
15,2016-05-30,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE2,NA,1,both surveys missing,,
16,2016-05-30,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE3,NA,1,both surveys missing,,
17,2016-05-30,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR4,NA,1,both surveys missing,,
18,2016-05-30,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR5,NA,1,both surveys missing,,
19,2016-05-30,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR6,NA,1,both surveys missing,,
20,2016-06-16,PRUTH_BAY,PRUTH_BAY_EDGE1,NA,1,both surveys missing,,
21,2016-06-16,PRUTH_BAY,PRUTH_BAY_EDGE2,NA,1,both surveys missing,,
22,2016-06-16,PRUTH_BAY,PRUTH_BAY_EDGE3,NA,1,both surveys missing,,
23,2016-06-16,PRUTH_BAY,PRUTH_BAY_INTERIOR4,NA,1,both surveys missing,,
24,2016-06-16,PRUTH_BAY,PRUTH_BAY_INTERIOR5,NA,1,both surveys missing,,
25,2016-06-16,PRUTH_BAY,PRUTH_BAY_INTERIOR6,NA,1,both surveys missing,,
26,2016-06-18,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE1,NA,1,both surveys missing,,
27,2016-06-18,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE2,NA,1,both surveys missing,,
28,2016-06-18,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR4,NA,1,both surveys missing,,
29,2016-06-19,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE3,NA,1,both surveys missing,,
30,2016-06-19,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR5,NA,1,both surveys missing,,
31,2016-06-19,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR6,NA,1,both surveys missing,,
32,2016-06-20,CHOKED_PASS,CHOKED_PASS_EDGE1,NA,1,both surveys missing,,
33,2016-06-20,CHOKED_PASS,CHOKED_PASS_EDGE2,NA,1,both surveys missing,,
34,2016-06-20,CHOKED_PASS,CHOKED_PASS_EDGE3,NA,1,both surveys missing,,
35,2016-06-20,CHOKED_PASS,CHOKED_PASS_EDGE7,NA,1,both surveys missing,,
36,2016-06-20,CHOKED_PASS,CHOKED_PASS_INTERIOR4,NA,1,both surveys missing,,
37,2016-06-20,CHOKED_PASS,CHOKED_PASS_INTERIOR5,NA,1,both surveys missing,,
38,2016-06-20,CHOKED_PASS,CHOKED_PASS_INTERIOR6,NA,1,both surveys missing,,
39,2016-08-17,TRIQUET_BAY,TRIQUET_BAY_EDGE1,NA,1,both surveys missing,,
40,2016-08-17,TRIQUET_BAY,TRIQUET_BAY_EDGE2,NA,1,both surveys missing,,
41,2016-08-17,TRIQUET_BAY,TRIQUET_BAY_EDGE3,NA,1,both surveys missing,,
42,2016-08-17,TRIQUET_BAY,TRIQUET_BAY_INTERIOR4,NA,1,both surveys missing,,
43,2016-08-17,TRIQUET_BAY,TRIQUET_BAY_INTERIOR5,NA,1,both surveys missing,,
44,2016-08-17,TRIQUET_BAY,TRIQUET_BAY_INTERIOR6,NA,1,both surveys missing,,
45,2016-08-18,PRUTH_BAY,PRUTH_BAY_EDGE1,NA,1,both surveys missing,,
46,2016-08-18,PRUTH_BAY,PRUTH_BAY_EDGE2,NA,1,both surveys missing,,
47,2016-08-18,PRUTH_BAY,PRUTH_BAY_EDGE3,NA,1,both surveys missing,,
48,2016-08-18,PRUTH_BAY,PRUTH_BAY_INTERIOR4,NA,1,both surveys missing,,
49,2016-08-18,PRUTH_BAY,PRUTH_BAY_INTERIOR5,NA,1,both surveys missing,,
50,2016-08-18,PRUTH_BAY,PRUTH_BAY_INTERIOR6,NA,1,both surveys missing,,
51,2016-08-19,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE2,NA,1,both surveys missing,,
52,2016-08-19,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE3,NA,1,both surveys missing,,
53,2016-08-19,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR5,NA,1,both surveys missing,,
54,2016-08-19,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR6,NA,1,both surveys missing,,
55,2016-08-20,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE1,NA,1,both surveys missing,,
56,2016-08-20,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR4,NA,1,both surveys missing,,
57,2016-08-21,MCMULLIN_NORTH,MCMULLIN_NORTH_EDGE1,NA,1,both surveys missing,,
58,2016-08-21,MCMULLIN_NORTH,MCMULLIN_NORTH_EDGE2,NA,1,both surveys missing,,
59,2016-08-21,MCMULLIN_NORTH,MCMULLIN_NORTH_EDGE3,NA,1,both surveys missing,,
60,2016-08-21,MCMULLIN_NORTH,MCMULLIN_NORTH_INTERIOR4,NA,1,both surveys missing,,
61,2016-08-21,MCMULLIN_NORTH,MCMULLIN_NORTH_INTERIOR5,NA,1,both surveys missing,,
62,2016-08-21,MCMULLIN_NORTH,MCMULLIN_NORTH_INTERIOR6,NA,1,both surveys missing,,
63,2016-08-22,TRIQUET_NORTH,TRIQUET_NORTH_EDGE1,NA,1,both surveys missing,,
